Al2 O3 a (Å), 4.76202, 0.0001523
Al2 O3 b (Å), 4.76202, 0.0001523
Al2 O3 c (Å), 12.99888, 0.0003004
Al2 O3 Phase Fraction, 7.84, 0.0461
Al2 O3 Weight Fraction, 0.9693, 0.000702
Si a (Å), 5.4327, 0.000371
Si b (Å), 5.4327, 0.000371
Si c (Å), 5.4327, 0.000371
Si Phase Fraction, 0.675, 0.01542
Si Weight Fraction, 0.0307, 0.000702
Al2 O3 O1 Uiso, 0.0524, 0.000649
Al2 O3 O1 x, 0.69166, 0.0002929
Al2 O3 Al1 Uiso, 0.0494, 0.000524
Al2 O3 Al1 z, 0.35216, 0.0000862
Si Si Uiso, 0.0354, 0.002503
wR, 13.21%, 
